           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
19:29:31 8.6e-09   12 90029   18   4  28 --- ---  65 240  70 133 1.032  27 2038
19:39:34 8.6e-09   12 90029   18   4  28 --- ---  65 240  70 134 1.033  27 2041
19:49:38 8.4e-09   12 90030   18   4  28 --- ---  65 240  70 131 1.032  27 2046
19:59:42 8.4e-09   12 90030   17   4  28 --- ---  65 240  70 131 1.032  27 2045
20:09:46 7.9e-09   12 90030   17   4  28 --- ---  65 240  70 130 1.032  27 2004
20:19:50 7.9e-09   12 90029   17   4  28 --- ---  65 240  70 130 1.033  26 1982
20:29:54 7.7e-09   12 90029   17   4  28 --- ---  65 240  70 131 1.032  26 1939
20:39:58 7.7e-09   12 90029   17   3  28 --- ---  65 240  70 129 1.032  25 1921
20:50:02 7.3e-09   11 90029   17   3  28 --- ---  65 240  70 130 1.033  25 1917
21:00:06 7.4e-09   12 90030   17   3  28 --- ---  65 240  70 129 1.033  25 1920
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
21:10:14 7.3e-09   12 90030   17   3  28 --- ---  65 240  70 131 1.033  25 1917
21:20:18 7.1e-09   12 90029   17   3  28 --- ---  65 240  70 129 1.033  25 1912
21:30:22 7.3e-09   12 90029   16   3  27 --- ---  65 240  70 127 1.033  25 1921
21:40:26 6.7e-09   12 90029   16   3  27 --- ---  65 240  70 126 1.034  25 1883
21:50:30 6.4e-09   12 90030   16   3  27 --- ---  65 240  70 126 1.034  24 1852
22:00:34 6.5e-09   12 90030   16   2  27 --- ---  65 240  70 126 1.034  24 1859
22:10:38 6.3e-09   12 90029   16   3  27 --- ---  65 240  70 126 1.033  24 1857
22:20:42 6.4e-09   12 90030   16   3  27 --- ---  65 240  70 127 1.033  24 1795
22:30:45 6.4e-09   12 90030   16   2  27 --- ---  65 240  70 127 1.033  23 1793
22:40:49 6.1e-09   12 90029   16   2  27 --- ---  65 240  70 126 1.033  23 1790
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
22:50:53 6.2e-09   12 90029   16   2  27 --- ---  65 240  70 126 1.033  23 1779
23:00:57 6.1e-09   12 90029   16   2  27 --- ---  65 240  70 124 1.033  23 1779
23:11:00 6.0e-09   12 90030   16   2  27 --- ---  65 240  70 124 1.033  23 1780
23:21:04 6.0e-09   12 90029   16   2  27 --- ---  65 240  70 125 1.033  23 1780
23:31:08 6.2e-09   12 90029   16   2  27 --- ---  65 240  70 125 1.034  24 1842
23:41:12 6.3e-09   12 90030   16   2  27 --- ---  65 240  70 126 1.033  24 1801
23:51:16 6.2e-09   12 90030   16   2  27 --- ---  65 240  70 127 1.033  23 1780
00:01:19 6.4e-09   12 90030   16   2  27 --- ---  65 240  70 125 1.033  23 1779
00:11:23 6.4e-09   12 90030   16   2  27 --- ---  65 240  70 125 1.033  23 1779
00:21:27 6.6e-09   12 90029   16   2  27 --- ---  65 240  70 126 1.033  24 1793
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
00:31:31 6.6e-09   12 90030   16   3  27 --- ---  65 240  70 126 1.033  24 1794
00:41:34 6.6e-09   12 90030   16   2  27 --- ---  65 240  70 126 1.033  24 1862
