# K    V      V      V
#   dt-470 dt-670   avg.
 10  1.420  1.384  1.402
 20  1.214  1.198  1.206
 30  1.107  1.106  1.107
 40  1.088  1.089  1.088
 50  1.071  1.073  1.072
 60  1.053  1.057  1.055
 70  1.034  1.040  1.037
 80  1.015  1.023  1.019
 90  0.996  1.005  1.000
100  0.976  0.987  0.981
110  0.955  0.968  0.962
120  0.934  0.949  0.941
130  0.912  0.929  0.921
140  0.891  0.909  0.900
150  0.869  0.889  0.879
160  0.847  0.869  0.858
170  0.824  0.848  0.836
180  0.801  0.827  0.814
190  0.779  0.805  0.792
200  0.756  0.784  0.770
210  0.732  0.762  0.747
220  0.709  0.740  0.725
230  0.686  0.718  0.702
240  0.662  0.696  0.679
250  0.638  0.673  0.656
260  0.615  0.651  0.633
270  0.591  0.628  0.610
280  0.567  0.606  0.586
290  0.543  0.583  0.563
300  0.519  0.560  0.539
310  0.495  0.537  0.516
320  0.471  0.513  0.492
330  0.446  0.490  0.468
340  0.422  0.467  0.444
350  0.398  0.443  0.421
